"Day ","Items ","Note ","Amount "
"81","Rental Expense","Cash Payment - Rental - Chicago","-4800"
"81","Rental Expense","Cash Payment - Rental - New York","-5360"
"81","Rental Expense","Cash Payment - Rental - Detroit","-2000"
"81","Rental Expense","Cash Payment - Rental - Los Angeles","-2160"
"81","Rental Expense","Cash Payment - Rental - San Francisco","-4480"
"81","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4880"
"81","Rental Expense","Cash Payment - Rental - Miami","-2240"
"80","Sales E Commerce","Revenue - ECM SO ID: 12485","11383"
"80","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 12846 ","-45750"
"80","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 12846 ","-129600"
"80","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 12846 ","-300000"
"80","Human Resource Expense","Counselled","-2000"
"80","Human Resource Expense","Counselled","-2000"
"80","Machines","Cash Payment - Machines","-300000"
"80","Human Resource Expense","Cash Payment - Staff Recruiting - Production","-30000"
"80","Human Resource Expense","Counselled","-2000"
"80","Human Resource Expense","Counselled","-2000"
"80","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"80","Salary Expense","Cash Payment - Salary Expense","-37155"
"80","Prepaid","Cash Payment - Web Buy - Payment to Escrow PO:12831","-6785"
"80","Prepaid","Cash Payment - Web Buy - Payment to Escrow PO:12836","-15759"
"80","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12573","-319"
"80","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 357","-15000"
"80","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 367","-15000"
"80","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 377","-15000"
"80","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 380","-15000"
"80","Retail","Revenue - Retail Sales New York - Sparkling Wine","66048"
"80","Retail","Revenue - Retail Sales New York - White Wine","84959"
"80","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","53191"
"80","Retail","Revenue - Retail Sales Detroit - Red Wine","82676"
